ceo_names,ceo_names,ceo_pctApprove,ceo_pctDisapprove,company_name,compensation_rating,culture_rating,overallRating,ratingDescription,recommendToFriendRating,seniorLeadershipRating,workLifeBalanceRating,Growth,Annual Rainfall,Annual Snowfall,Avg_Commute_work,HQ_City,HQ_State,population,crime_rate_per_1000,diversity
William T.  Burgess,William T.  Burgess,87,13,Dickinson Wright,3.4,2.6,2.8,OK,39,2.8,2.5,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
William S. Demchak,William S. Demchak,80,20,PNC Financial,3.1,3.7,3.4,OK,61,3.1,3.6,,42.9,28.2,22,Pittsburgh,Pennsylvania,302443,73.34572529,63.87
William P. Hankowsky,William P. Hankowsky,75,25,Liberty Property Trust,3.6,3.3,3.4,OK,63,3.1,3.5,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
William McNabb,William McNabb,79,21,Vanguard,3.2,3.6,3.3,OK,58,3.1,3.9,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
William J. Merritt,William J. Merritt,94,6,InterDigital,4.1,3.5,3.7,Satisfied,72,3.6,4,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
William H. (Bill) Rogers Jr.,William H. (Bill) Rogers Jr.,76,24,SunTrust,3.2,3.1,3,OK,50,2.6,3.1,,50.7,0.7,,Atlanta,Georgia,472579,116.0771966,67.26
William C. Cobb,William C. Cobb,69,31,H&R Block,2.7,3.5,3.5,Satisfied,68,3.2,3.5,,42.2,17,,Kansas City,Missouri,478364,103.9359789,65.35
Wesley G. Bush,Wesley G. Bush,89,11,Northrop Grumman,3.7,3.6,3.7,Satisfied,76,3.2,3.7,51.07,44.3,10.3,,Falls Church,Virginia,14124,35.38900627,#N/A
Wayne T. Smith,Wayne T. Smith,46,54,Community Health Systems,2.7,2.5,2.7,OK,37,2.3,3,,54.2,6.3,31.9,Franklin,Tennessee,74771,31.52480495,64.65
Wayne Bloom,Wayne Bloom,93,7,Commonwealth Financial Network,3.4,4.5,3.8,Satisfied,89,3.8,4.4,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Wayne Berson,Wayne Berson,95,5,BDO USA,3.3,3.4,3.3,OK,65,3.2,3,,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
